name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Inkay,686,686 Inkay.jpg,Dark,Psychic,,53,54,53,37,46,45,0.4,3.5,,Malamar,,,,,,,
Malamar,687,687 Malamar.jpg,Dark,Psychic,,86,92,88,68,75,73,1.5,47,Inkay,,,,,,,,
Binacle,688,688 Binacle.jpg,Rock,Water,,42,52,67,39,56,50,0.5,31,,Barbaracle,,,,,,,
Barbaracle,689,689 Barbaracle.jpg,Rock,Water,,72,105,115,54,86,68,1.3,96,Binacle,,,,,,,,
Skrelp,690,690 Skrelp.jpg,Poison,Water,,50,60,60,60,60,30,0.5,7.3,,Dragalge,,,,,,,
Dragalge,691,691 Dragalge.jpg,Poison,Dragon,,65,75,90,97,123,44,1.8,81.5,Skrelp,,,,,,,,
Clauncher,692,692 Clauncher.jpg,Water,,,50,53,62,5,63,44,0.5,8.3,,Clawitzer,,,,,,,
Clawitzer,693,693 Clawitzer.jpg,Water,,,71,73,88,120,89,59,1.3,35.3,Clauncher,,,,,,,,
Helioptile,694,694 Helioptile.jpg,Electric,Normal,,44,38,33,61,43,70,0.5,6,,Heliolisk,,,,,,,
Heliolisk,695,695 Heliolisk.jpg,Electric,Normal,,62,55,52,109,94,109,1,21,Helioptile,,,,,,,,
Tyrunt,696,696 Tyrunt.jpg,Rock,Dragon,,58,89,77,45,45,48,0.8,26,,Tyrantrum,,,,,,,
Tyrantrum,697,697 Tyrantrum.jpg,Rock,Dragon,,82,121,119,69,59,71,2.5,270,Tyrunt,,,,,,,,
Amaura,698,698 Amaura.jpg,Rock,Ice,,77,59,50,67,63,46,1.3,25.2,,Aurorus,,,,,,,
Aurorus,699,699 Aurorus.jpg,Rock,Ice,,123,72,72,99,92,58,2.7,225,Amaura,,,,,,,,
Hawlucha,701,701 Hawlucha.jpg,Fighting,Flying,,78,92,75,7,63,118,0.8,21.5,,,,,,,,,
Dedenne,702,702 Dedenne.jpg,Electric,Flying,,67,58,57,81,67,101,0.2,2.2,,,,,,,,,
Carbink,703,703 Carbink.jpg,Rock,Flying,,50,50,150,50,150,50,0.3,5.7,,,,,,,,,
Goomy,704,704 Goomy.jpg,Dragon,,,45,50,35,55,75,40,0.3,2.8,,Sliggoo,,,,,,,
Sliggoo,705,705 Sliggoo.jpg,Dragon,,,68,75,53,83,113,60,0.8,17.5,Goomy,Goodra,,,,,,,
Goodra,706,706 Goodra.jpg,Dragon,,,90,100,70,110,150,80,2,150.5,Sliggoo,,,,,,,,
Klefki,707,707 Klefki.jpg,Steel,Flying,,57,80,91,80,87,75,0.2,3,,,,,,,,,
Phantump,708,708 Phantump.jpg,Ghost,Grass,,43,70,48,50,60,38,0.4,7,,Trevenant,,,,,,,
Trevenant,709,709 Trevenant.jpg,Ghost,Grass,,85,110,76,65,82,56,1.5,71,Phantump,,,,,,,,
Pumpkaboo 1 Average Size,710,710 Pumpkaboo 1 Average Size.jpg,Ghost,Grass,,49,66,70,44,55,51,0.4,5,,Gourgeist 1 Average Size,,,,,,,
Pumpkaboo 2 Small Size,710,710 Pumpkaboo 2 Small Size.jpg,Ghost,Grass,,44,66,70,44,55,56,0.3,3.5,,Gourgeist 2 Small Size,,,,,,,
Pumpkaboo 3 Large Size,710,710 Pumpkaboo 3 Large Size.jpg,Ghost,Grass,,54,66,70,44,55,46,0.5,7.5,,Gourgeist 3 Large Size,,,,,,,
Pumpkaboo 4 Super Size,710,710 Pumpkaboo 4 Super Size.jpg,Ghost,Grass,,59,66,70,44,55,41,0.8,15,,Gourgeist 4 Super Size,,,,,,,
Gourgeist 1 Average Size,711,711 Gourgeist 1 Average Size.jpg,Ghost,Grass,,65,90,122,58,75,84,0.9,12.5,Pumpkaboo 1 Average Size,,,,,,,,
Gourgeist 2 Small Size,711,711 Gourgeist 2 Small Size.jpg,Ghost,Grass,,55,85,122,58,75,99,0.7,9.5,Pumpkaboo 2 Small Size,,,,,,,,
Gourgeist 3 Large Size,711,711 Gourgeist 3 Large Size.jpg,Ghost,Grass,,75,95,122,58,75,69,1.1,14,Pumpkaboo 3 Large Size,,,,,,,,
Gourgeist 4 Super Size,711,711 Gourgeist 4 Super Size.jpg,Ghost,Grass,,85,100,122,58,75,54,1.7,39,Pumpkaboo 4 Super Size,,,,,,,,
Bergmite,712,712 Bergmite.jpg,Ice,,,55,69,85,32,35,28,1,99.5,,Avalugg,,,,,,,
Avalugg,713,713 Avalugg.jpg,Ice,,,95,117,184,44,46,28,2,505,Bergmite,,,,,,,,
Noibat,714,714 Noibat.jpg,Flying,Dragon,,40,30,35,45,40,55,0.5,8,,Noivern,,,,,,,
Noivern,715,715 Noivern.jpg,Flying,Dragon,,85,70,80,97,80,123,1.5,85,Noibat,,,,,,,,
Xerneas,716,716 Xerneas.jpg,Fairy,,,126,131,95,131,98,99,3,215,,,,,,,,,
Yveltal,717,717 Yveltal.jpg,Dark,Flying,,126,131,95,131,98,99,5.8,203,,,,,,,,,
Zygarde Core,718,718 Zygarde Core.jpg,Dragon,Ground,,30,30,30,30,30,30,0.2,2.2,,,,,,,,,
Zygarde Cell,718,718 Zygarde Cell.jpg,Dragon,Ground,,10,10,10,10,10,10,0.2,2.2,,,,,,,,,
Zygarde 10%,718,718 Zygarde 10%.jpg,Dragon,Ground,,54,100,71,61,85,115,1.2,33.5,,,,,,,,,
Zygarde 50%,718,718 Zygarde 50%.jpg,Dragon,Ground,,108,100,121,81,95,95,5,305,,,,,,,,,
Zygarde 100%,718,718 Zygarde 100%.jpg,Dragon,Ground,,216,100,121,91,95,85,4.5,610,,,,,,,,,
Diancie,179,719 Diancie.jpg,Rock,Fairy,,50,100,150,100,150,50,0.7,8.8,,Mega Diancie,,,,,,,
Mega Diancie,179,719.5 Mega Diancie.jpg,Rock,Fairy,,50,160,110,160,110,110,1.1,27.8,Diancie,,,,,,,,
Hoopa Confined,720,720 Hoopa Confined.jpg,Psychic,Ghost,,80,110,60,150,130,70,0.5,9,,,,,,,,,
Hoopa Unbound,720,720 Hoopa Unbound.jpg,Psychic,Dark,,80,160,60,170,130,80,6.5,490,,,,,,,,,
Volcanion,721,721 Volcanion.jpg,Fire,Water,,80,110,120,130,90,70,1.7,195,,,,,,,,,
Rowlet,722,722 Rowlet.jpg,Grass,,,68,55,55,50,50,42,0.3,1.5,,Dartrix,,,,,,,
Dartrix,723,723 Dartrix.jpg,Grass,,,78,75,75,70,70,52,0.7,16,Rowlet,Decidueye,,,,,,,
Decidueye,724,724 Decidueye.jpg,Grass,,,78,107,75,100,100,70,1.6,36.6,Dartrix,,,,,,,,
Litten,725,725 Litten.jpg,Fire,,,45,65,40,60,40,70,0.4,4.3,,Torracat,,,,,,,
Torracat,726,726 Torracat.jpg,Fire,,,65,85,50,80,50,90,0.7,25,Litten,Incineroar,,,,,,,
Incineroar,727,727 Incineroar.jpg,Fire,Dark,,95,115,90,80,90,60,1.8,83,Torracat,,,,,,,,
Popplio,278,728 Popplio.jpg,Water,,,50,54,54,66,56,40,0.4,7.5,,Brionne,,,,,,,
Brionne,729,729 Brionne.jpg,Water,,,60,69,69,91,81,50,0.6,17.5,Popplio,Primarina,,,,,,,
Primarina,730,730 Primarina.jpg,Water,Fairy,,80,74,74,126,116,60,1.8,44,Brionne,,,,,,,,
Pikipek,731,731 Pikipek.jpg,Normal,Flying,,35,75,30,30,30,65,0.3,1.2,,Trumbeak,,,,,,,
Trumbeak,732,732 Trumbeak.jpg,Normal,Flying,,55,85,50,40,50,75,0.6,14.8,Pikipek,Toucannon,,,,,,,
Toucannon,733,733 Toucannon.jpg,Normal,Flying,,80,120,75,75,75,60,1.1,26,Trumbeak,,,,,,,,
Yungoos,734,734 Yungoos.jpg,Normal,,,48,70,30,30,30,45,0.4,6,,Gumshoos,,,,,,,
Gumshoos,735,735 Gumshoos.jpg,Normal,,,88,110,60,55,60,45,0.7,14.2,Yungoos,,,,,,,,
Grubbin,736,736 Grubbin.jpg,Bug,,,47,62,45,55,45,46,0.4,4.4,,Charjabug,,,,,,,
Charjabug,737,737 Charjabug.jpg,Bug,Electric,,57,82,95,55,75,36,0.5,10.5,Grubbin,Vikavolt,,,,,,,
Vikavolt,738,738 Vikavolt.jpg,Bug,Electric,,77,70,90,145,75,43,1.5,45,Charjabug,,,,,,,,
Crabrawler,739,739 Crabrawler.jpg,Fighting,,,47,82,57,42,47,63,0.6,7,,Crabominable,,,,,,,
Crabominable,740,740 Crabominable.jpg,Fighting,Ice,,97,132,77,62,67,43,1.7,180,Crabrawler,,,,,,,,
Oricorio Baile,741,741 Oricorio Baile.jpg,Fire,Flying,,75,70,70,98,70,93,0.6,3.4,,,,,,,,,
Oricorio Pa'u,741,741 Oricorio Pa'u.jpg,Electric,Flying,,75,70,70,98,70,93,0.6,3.4,,,,,,,,,
Oricorio Pom-Pom,741,741 Oricorio Pom-Pom.jpg,Psychic,Flying,,75,70,70,98,70,93,0.6,3.4,,,,,,,,,
Oricorio Sensu,741,741 Oricorio Sensu.jpg,Ghost,Flying,,75,70,70,98,70,93,0.6,3.4,,,,,,,,,
Cutiefly,742,742 Cutiefly.jpg,Bug,Fairy,,40,45,40,55,40,84,0.1,0.2,,Ribombee,,,,,,,
Ribombee,743,743 Ribombee.jpg,Bug,Fairy,,60,55,60,95,70,124,0.2,0.5,Cutiefly,,,,,,,,
Rockruff,744,744 Rockruff.jpg,Rock,,,45,65,40,30,40,60,0.5,9.2,,Lycanroc Midday (Rockruff's Evolution),Lycanroc Midnight (Rockruff's Evolution),,,,,,
Rockruff (Own Tempo),744,744 Rockruff (Own Tempo).jpg,Rock,,,45,65,40,30,40,60,0.5,9.2,,Lycanroc Dusk (Rockruff (Own Tempo)'s Evolution),,,,,,,
Lycanroc Midday (Rockruff's Evolution),745,745 Lycanroc Midday (Rockruff's Evolution).jpg,Rock,,,75,115,65,55,65,112,0.8,25,Rockruff,,,,,,,,
Lycanroc Midnight (Rockruff's Evolution),745,745 Lycanroc Midnight (Rockruff's Evolution).jpg,Rock,,,85,115,75,55,75,82,1.1,25,Rockruff,,,,,,,,
Lycanroc Dusk (Rockruff (Own Tempo)'s Evolution),745,745 Lycanroc Dusk (Rockruff (Own Tempo)'s Evolution).jpg,Rock,,,75,117,65,55,65,110,0.8,25,Rockruff (Own Tempo),,,,,,,,
Wishiwashi Solo,746,746 Wishiwashi Solo.jpg,Water,,,45,20,20,25,25,40,0.2,0.3,,,,,,,,,
Wishiwashi School,746,746 Wishiwashi School.jpg,Water,,,45,140,130,140,135,30,8.2,78.6,,,,,,,,,
Mareanie,747,747 Mareanie.jpg,Poison,Water,,50,53,62,43,52,45,0.4,8,,Toxapex,,,,,,,
Toxapex,748,748 Toxapex.jpg,Poison,Water,,50,63,152,53,142,35,0.7,14.5,Mareanie,,,,,,,,
Mudbray,749,749 Mudbray.jpg,Ground,,,70,100,70,45,55,45,1,110,,Mudsdale,,,,,,,
Mudsdale,750,750 Mudsdale.jpg,Ground,,,100,125,100,55,85,35,2.5,920,Mudbray,,,,,,,,
Dewpider,751,751 Dewpider.jpg,Water,Bug,,38,40,52,40,72,27,0.3,4,,Araquanid,,,,,,,
Araquanid,752,752 Araquanid.jpg,Water,Bug,,68,70,92,50,132,42,11.8,82,Dewpider,,,,,,,,
Fomantis,753,753 Fomantis.jpg,Grass,,,40,55,35,50,35,35,0.3,1.5,,Lurantis,,,,,,,
Lurantis,754,754 Lurantis.jpg,Grass,,,70,105,90,80,90,45,0.9,18.5,Fomantis,,,,,,,,
Morelull,755,755 Morelull.jpg,Grass,Fairy,,40,35,55,65,75,15,0.2,1.5,,Shiinotic,,,,,,,
Shiinotic,756,756 Shiinotic.jpg,Grass,Fairy,,60,45,80,90,100,30,1,11.5,Morelull,,,,,,,,
Salandit,757,757 Salandit.jpg,Poison,Fire,,48,44,40,71,40,77,0.6,4.8,,Salazzle,,,,,,,
Salazzle,758,758 Salazzle.jpg,Poison,Fire,,68,64,60,111,60,117,1.2,22.2,Salandit,,,,,,,,
Stufful,758,759 Stufful.jpg,Normal,Fighting,,70,75,50,45,50,50,0.5,6.8,,Bewear,,,,,,,
Bewear,760,760 Bewear.jpg,Normal,Fighting,,120,125,80,55,60,60,2.1,135,Stufful,,,,,,,,
Bounsweet,761,761 Bounsweet.jpg,Grass,,,42,30,38,30,38,32,0.3,3.2,,Steenee,,,,,,,
Steenee,762,762 Steenee.jpg,Grass,,,52,40,48,40,48,62,0.7,8.2,Bounsweet,Tsareena,,,,,,,
Tsareena,763,763 Tsareena.jpg,Grass,,,72,120,98,50,98,72,1.2,21.4,Steenee,,,,,,,,
Comfey,764,764 Comfey.jpg,Fairy,,,51,52,90,82,110,100,0.1,0.3,,,,,,,,,
Oranguru,765,765 Oranguru.jpg,Normal,Psychic,,90,60,80,90,110,60,1.5,76,,,,,,,,,
Passimian,766,766 Passimian.jpg,Fighting,,,100,120,90,40,60,80,2,82.8,,,,,,,,,
Wimpod,767,767 Wimpod.jpg,Bug,Water,,25,35,40,20,30,80,0.5,12,,Golisopod,,,,,,,
Golisopod,768,768 Golisopod.jpg,Bug,Water,,75,125,140,60,90,40,2,108,Wimpod,,,,,,,,
Sandygast,769,769 Sandygast.jpg,Ghost,Ground,,55,55,80,70,45,15,0.5,70,,Palossand,,,,,,,
Palossand,770,770 Palossand.jpg,Ghost,Ground,,85,75,110,100,75,35,1.3,250,Sandygast,,,,,,,,
Pyukumuku,771,771 Pyukumuku.jpg,Water,,,55,60,130,30,130,5,0.3,1.2,,,,,,,,,
Type Null,772,772 Type Null.jpg,Normal,,,95,95,95,95,95,59,1.9,120.5,,Silvally,,,,,,,
Silvally,773,773 Silvally.jpg,Normal,,,95,95,95,95,95,95,2.3,100.5,Type Null,,,,,,,,
